country,continent,GDP,year
日本,亚洲,239270,1973
印度,亚洲,22960,1973
韩国,亚洲,7870,1973
土耳其,亚洲,17240,1973
印度尼西亚,亚洲,10980,1973
沙特阿拉伯,亚洲,23760,1973
泰国,亚洲,4130,1973
菲律宾,亚洲,5660,1973
马来西亚,亚洲,2780,1973
英国,欧洲,114750,1973
意大利,欧洲,107570,1973
西班牙,欧洲,55990,1973
荷兰,欧洲,36410,1973
瑞士,欧洲,33920,1973
芬兰,欧洲,9930,1973
瑞典,欧洲,23020,1973
比利时,欧洲,22280,1973
挪威,欧洲,14540,1973
日本,亚洲,278390,1978
印度,亚洲,29220,1978
韩国,亚洲,13120,1978
土耳其,亚洲,22620,1978
印度尼西亚,亚洲,15390,1978
沙特阿拉伯,亚洲,30080,1978
泰国,亚洲,6000,1978
菲律宾,亚洲,7480,1978
马来西亚,亚洲,3900,1978
英国,欧洲,121140,1978
意大利,欧洲,126030,1978
西班牙,欧洲,64080,1978
荷兰,欧洲,41420,1978
瑞士,欧洲,32360,1978
芬兰,欧洲,10800,1978
瑞典,欧洲,24650,1978
比利时,欧洲,24970,1978
挪威,欧洲,18160,1978
日本,亚洲,336520,1983
印度,亚洲,34790,1983
韩国,亚洲,18480,1983
土耳其,亚洲,25000,1983
印度尼西亚,亚洲,20870,1983
沙特阿拉伯,亚洲,24130,1983
泰国,亚洲,7840,1983
菲律宾,亚洲,9070,1983
马来西亚,亚洲,5510,1983
英国,欧洲,129860.00000000001,1983
意大利,欧洲,141500,1983
西班牙,欧洲,67430,1983
荷兰,欧洲,42830,1983
瑞士,欧洲,35000,1983
芬兰,欧洲,13130,1983
瑞典,欧洲,26980,1983
比利时,欧洲,26860,1983
挪威,欧洲,20980,1983
日本,亚洲,427650,1988
印度,亚洲,45400,1988
韩国,亚洲,30960,1988
土耳其,亚洲,33340,1988
印度尼西亚,亚洲,26890,1988
沙特阿拉伯,亚洲,25640,1988
泰国,亚洲,11350,1988
菲律宾,亚洲,8970,1988
马来西亚,亚洲,6880,1988
英国,欧洲,158980,1988
意大利,欧洲,166060,1988
西班牙,欧洲,80430,1988
荷兰,欧洲,49070,1988
瑞士,欧洲,39950,1988
芬兰,欧洲,15720,1988
瑞典,欧洲,31270,1988
比利时,欧洲,30520,1988
挪威,欧洲,24800,1988
日本,亚洲,488020,1993
印度,亚洲,56680,1993
韩国,亚洲,45790,1993
土耳其,亚洲,41600,1993
印度尼西亚,亚洲,37570,1993
沙特阿拉伯,亚洲,34670,1993
泰国,亚洲,17990,1993
菲律宾,亚洲,10000,1993
马来西亚,亚洲,10720,1993
英国,欧洲,167180,1993
意大利,欧洲,177750,1993
西班牙,欧洲,89630,1993
荷兰,欧洲,56320,1993
瑞士,欧洲,42740,1993
芬兰,欧洲,15040,1993
瑞典,欧洲,30950,1993
比利时,欧洲,33350,1993
挪威,欧洲,28050,1993
日本,亚洲,521740,1998
印度,亚洲,77270,1998
韩国,亚洲,59600,1998
土耳其,亚洲,50560,1998
印度尼西亚,亚洲,42880,1998
沙特阿拉伯,亚洲,37310,1998
泰国,亚洲,19930,1998
菲律宾,亚洲,12090,1998
马来西亚,亚洲,14070,1998
英国,欧洲,196370,1998
意大利,欧洲,196130,1998
西班牙,欧洲,104800,1998
荷兰,欧洲,67570,1998
瑞士,欧洲,46090,1998
芬兰,欧洲,18940,1998
瑞典,欧洲,36510,1998
比利时,欧洲,37790,1998
挪威,欧洲,34830,1998
日本,亚洲,545920,2003
印度,亚洲,102500,2003
韩国,亚洲,84420,2003
土耳其,亚洲,55060,2003
印度尼西亚,亚洲,51460,2003
沙特阿拉伯,亚洲,40500,2003
泰国,亚洲,25620,2003
菲律宾,亚洲,14620,2003
马来西亚,亚洲,18210,2003
英国,欧洲,228640,2003
意大利,欧洲,211730,2003
西班牙,欧洲,126720,2003
荷兰,欧洲,75950,2003
瑞士,欧洲,49450,2003
芬兰,欧洲,22260,2003
瑞典,欧洲,42290,2003
比利时,欧洲,42160,2003
挪威,欧洲,38320,2003
日本,亚洲,578410,2008
印度,亚洲,143180,2008
韩国,亚洲,106280,2008
土耳其,亚洲,74660,2008
印度尼西亚,亚洲,67940,2008
沙特阿拉伯,亚洲,51340,2008
泰国,亚洲,31950,2008
菲律宾,亚洲,19140,2008
马来西亚,亚洲,24100,2008
英国,欧洲,253560,2008
意大利,欧洲,221500,2008
西班牙,欧洲,147390,2008
荷兰,欧洲,86710,2008
瑞士,欧洲,57960,2008
芬兰,欧洲,26270,2008
瑞典,欧洲,48920,2008
比利时,欧洲,47720,2008
挪威,欧洲,43330,2008
日本,亚洲,589420,2013
印度,亚洲,197840,2013
韩国,亚洲,125320,2013
土耳其,亚洲,97510,2013
印度尼西亚,亚洲,89730,2013
沙特阿拉伯,亚洲,62900,2013
泰国,亚洲,37880,2013
菲律宾,亚洲,24700,2013
马来西亚,亚洲,29650,2013
英国,欧洲,260510,2013
意大利,欧洲,204670,2013
西班牙,欧洲,134780,2013
荷兰,欧洲,84970,2013
瑞士,欧洲,61070,2013
芬兰,欧洲,24970,2013
瑞典,欧洲,51470,2013
比利时,欧洲,49500,2013
挪威,欧洲,44930,2013
日本,亚洲,617030,2018
印度,亚洲,282220,2018
韩国,亚洲,144970,2018
土耳其,亚洲,124050,2018
印度尼西亚,亚洲,114690,2018
沙特阿拉伯,亚洲,70160,2018
泰国,亚洲,44230,2018
菲律宾,亚洲,34030,2018
马来西亚,亚洲,38210,2018
英国,欧洲,287930,2018
意大利,欧洲,214100,2018
西班牙,欧洲,153950,2018
荷兰,欧洲,94810,2018
瑞士,欧洲,67460,2018
芬兰,欧洲,26920,2018
瑞典,欧洲,58930,2018
比利时,欧洲,53840,2018
挪威,欧洲,48930,2018