时间,汽车厂商,销量
2022年1月,上汽大众,124491
2022年1月,长安汽车,123707
2022年1月,吉利汽车,112325
2022年1月,东风日产,110996
2022年1月,一汽-大众,103462
2022年1月,广汽丰田,99707
2022年1月,比亚迪,93363
2022年1月,华晨宝马,79087
2022年1月,广汽本田,77377
2022年1月,东风本田,76903
2022年2月,比亚迪,88093
2022年2月,上汽大众,86076
2022年2月,一汽丰田,75918
2022年2月,东风日产,74308
2022年2月,一汽-大众,70638
2022年2月,东风本田,58954
2022年2月,广汽本田,56734
2022年2月,特斯拉中国,56515
2022年2月,吉利汽车,55357
2022年2月,长安汽车,53034
2022年3月,长安汽车,110015
2022年3月,上汽大众,104200
2022年3月,比亚迪,103852
2022年3月,上汽通用五菱,102951
2022年3月,广汽丰田,96984
2022年3月,一汽-大众,76586
2022年3月,广汽本田,75858
2022年3月,吉利汽车,75447
2022年3月,东风本田,71074
2022年3月,一汽丰田,69957
2022年4月,比亚迪,105475
2022年4月,广汽丰田,68450
2022年4月,吉利汽车,49137
2022年4月,长安汽车,47980
2022年4月,上汽通用五菱,44002
2022年4月,一汽-大众,39444
2022年4月,东风日产,37636
2022年4月,华晨宝马,31743
2022年4月,一汽丰田,31443
2022年4月,长城汽车,29125
2022年5月,比亚迪,114183
2022年5月,一汽-大众,89025
2022年5月,广汽丰田,83730
2022年5月,上汽大众,83502
2022年5月,上汽通用五菱,71493
2022年5月,长安汽车,66091
2022年5月,华晨宝马,62567
2022年5月,吉利汽车,60197
2022年5月,一汽丰田,57958
2022年5月,东风日产,52531
2022年6月,比亚迪,133762
2022年6月,一汽-大众,123358
2022年6月,上汽大众,122100
2022年6月,一汽丰田,102039
2022年6月,广汽丰田,100794
2022年6月,吉利汽车,91695
2022年6月,长安汽车,88010
2022年6月,上汽通用五菱,87462
2022年6月,东风日产,79570
2022年6月,特斯拉中国,78906
2022年7月,比亚迪,162214
2022年7月,上汽大众,125450
2022年7月,上汽通用五菱,106483
2022年7月,一汽-大众,100160
2022年7月,长安汽车,96786
2022年7月,广汽丰田,83940
2022年7月,吉利汽车,83392
2022年7月,一汽丰田,82697
2022年7月,东风日产,80439
2022年7月,东风本田,78239
2022年8月,上汽大众,180439
2022年8月,比亚迪,173977
2022年8月,广汽丰田,108679
2022年8月,上汽通用五菱,96363
2022年8月,广汽本田,96325
2022年8月,奇瑞汽车,93720
2022年8月,一汽丰田,93361
2022年8月,吉利汽车,92525
2022年8月,一汽-大众奥迪,82348
2022年8月,特斯拉中国,76965
2022年9月,比亚迪,200973
2022年9月,上汽大众,125484
2022年9月,一汽-大众,114112
2022年9月,上汽通用五菱,105179
2022年9月,广汽丰田,95951
2022年9月,长安汽车,92616
2022年9月,奇瑞汽车,86915
2022年9月,一汽丰田,84954
2022年9月,特斯拉中国,83135
2022年9月,吉利汽车,82688
2022年10月,比亚迪,216593
2022年10月,上汽大众,121973
2022年10月,长安汽车,109451
2022年10月,吉利汽车,106877
2022年10月,上汽通用五菱,106458
2022年10月,一汽-大众,83332
2022年10月,广汽丰田,80800
2022年10月,一汽丰田,74924
2022年10月,奇瑞汽车,72512
2022年10月,东风日产,71986
2022年11月,比亚迪,224576
2022年11月,上汽通用五菱,129039
2022年11月,上汽大众,109343
2022年11月,特斯拉中国,100291
2022年11月,吉利汽车,94638
2022年11月,长安汽车,85776
2022年11月,广汽丰田,85169
2022年11月,一汽-大众,72423
2022年11月,一汽丰田,65837
2022年11月,华晨宝马,58527
2022年12月,比亚迪,226492
2022年12月,上汽通用五菱,141821
2022年12月,长安汽车,124609
2022年12月,上汽大众,118750
2022年12月,一汽-大众,93851
2022年12月,吉利汽车,82623
2022年12月,广汽丰田,74033
2022年12月,东风本田,60922
2022年12月,华晨宝马,60117
2022年12月,一汽丰田,59696
2023年1月,比亚迪,133317
2023年1月,长安汽车,90067
2023年1月,上汽大众,78000
2023年1月,一汽-大众,70004
2023年1月,吉利汽车,67479
2023年1月,广汽丰田,61105
2023年1月,华晨宝马,56765
2023年1月,上汽通用五菱,46922
2023年1月,一汽丰田,43787
2023年1月,北京奔驰,42357
2023年2月,比亚迪,169337
2023年2月,长安汽车,72241
2023年2月,上汽大众,71450
2023年2月,广汽丰田,66936
2023年2月,上汽通用五菱,65513
2023年2月,吉利汽车,65140
2023年2月,一汽-大众,60710
2023年2月,一汽丰田,49959
2023年2月,东风日产,49553
2023年2月,华晨宝马,49340
2023年3月,比亚迪,181391
2023年3月,一汽-大众,81030
2023年3月,上汽大众,81009
2023年3月,特斯拉中国,76663
2023年3月,长安汽车,67379
2023年3月,一汽丰田,62347
2023年3月,吉利汽车,61714
2023年3月,广汽丰田,60498
2023年3月,华晨宝马,58320
2023年3月,上汽通用五菱,56440
2023年4月,比亚迪,183534
2023年4月,上汽大众,96203
2023年4月,一汽-大众,78011
2023年4月,广汽丰田,76925
2023年4月,长安汽车,76455
2023年4月,一汽丰田,71383
2023年4月,广汽本田,60462
2023年4月,吉利汽车,59661
2023年4月,上汽通用五菱,58210
2023年4月,华晨宝马,53205
2023年5月,比亚迪,209730
2023年5月,上汽大众,90193
2023年5月,一汽-大众,83610
2023年5月,长安汽车,81209
2023年5月,广汽丰田,77513
2023年5月,一汽丰田,70001
2023年5月,吉利汽车,67100
2023年5月,上汽通用五菱,63292
2023年5月,东风日产,56511
2023年5月,一汽-大众奥迪,52696
2023年6月,比亚迪,220600
2023年6月,一汽-大众,98052
2023年6月,上汽大众,94018
2023年6月,广汽丰田,86345
2023年6月,长安汽车,86189
2023年6月,特斯拉中国,74212
2023年6月,吉利汽车,71726
2023年6月,一汽丰田,70795
2023年6月,广汽本田,65540
2023年6月,一汽-大众奥迪,64037