年份,高考人数,高考录取人数,高考录取率,招生高校数
1977,570,27.3,0.05 ,404
1978,610,40.2,0.07 ,598
1979,468,28,0.06 ,633
1980,333,28,0.08 ,675
1981,259,28,0.11 ,704
1982,187,32,0.17 ,715
1983,167,39,0.23 ,805
1984,164,48,0.29 ,902
1985,176,62,0.35 ,1016
1986,191,57,0.30 ,1054
1987,228,62,0.27 ,1063
1988,272,67,0.25 ,1075
1989,266,60,0.23 ,1079
1990,283,61,0.22 ,1075
1991,296,62,0.21 ,1075
1992,303,75,0.25 ,1053
1993,286,98,0.34 ,1065
1994,251,90,0.36 ,1080
1995,253,93,0.37 ,1054
1996,241,97,0.40 ,1032
1997,278,100,0.36 ,1020
1998,320,108,0.34 ,1022
1999,288,160,0.56 ,1071
2000,375,221,0.59 ,1041
2001,454,268,0.59 ,1225
2002,510,320,0.63 ,1396
2003,613,382,0.62 ,1552
2004,729,447,0.61 ,1731
2005,877,504,0.57 ,1792
2006,950,546,0.57 ,1867
2007,1010,566,0.56 ,1908
2008,1050,599,0.57 ,2263
2009,1020,629,0.62 ,2305
2010,946,657,0.69 ,2385
2011,933,675,0.72 ,2487
2012,915,685,0.75 ,2442
2013,912,684,0.75 ,2622
2014,939,697,0.74 ,2529
2015,942,700,0.74 ,2553
2016,940,705,0.75 ,2595
2017,940,700,0.74 ,2631
2018,975,790.99,0.81 ,2663
2019,1031,820,0.80 ,2688
2020,1071,856,0.80 ,2956
2021,1078,1001.32,0.93 ,2956
2022,1193,1145.28,0.96 ,2956